Training Fraction,Training AUC,Test AUC
0.2,1.0,0.9796397072621504
0.4,1.0,0.9795458810283355
0.6,1.0,0.977857008819666
0.8,0.9999908273711247,0.9813285794708201
1.0,0.9999354937077044,0.9806248827172077
